standard_code,level,points,dimension,theme,good_practice,action,verification_detail,verification_medium,link,valid_answers,linked_resources
P011,Intermedio,3,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,"El predio cuenta con un espacio específico para el lavado de equipos y maquinarias, alejado de las fuentes o cursos de agua.",Inspección visual de existencia de zona de lavado de equipos que no esté en contacto con el suelo y con vías de evacuación de aguas de lavado.,Foto,https://ciruelacertificada.cl/?s=P011&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[582, 727, 872]"
P012,Intermedio,3,Ambiente,Agua,Monitorear y asegurar la calidad del agua utilizada en el predio,El predio realiza análisis periódicos para evaluar la calidad química y biológica de las fuentes de alimentación de agua.,"Informe de análisis físico-químicos y microbiológicos, actualizados periódicamente según NCH409.",Archivo,https://ciruelacertificada.cl/?s=P012&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[583, 728, 873]"
P013,Fundamental,5,Ambiente,Agua,Gestionar eficientemente el riego en el predio,El predio realiza mediciones de humedad de suelo mediante la observación de calicatas.,"Registro que demuestre la ejecución de las calicatas con la siguiente información:  * Número o código.  * Fecha de ejecución.  * Sector, cuartel o georreferenciación.  * Profundidad.  * Textura (ej.: arcillosa, arenosa, etc.).  * Resultados obtenidos (nivel de humedad).",Bitácora,https://ciruelacertificada.cl/?s=P013&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[495, 584, 729, 874]"
P014,Básico,2,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio utiliza riego tecnificado para el cultivo, como por ejemplo: riego por goteo o microaspersión.",Inspección visual de los equipos de riego utilizados en el predio.,Foto,https://ciruelacertificada.cl/?s=P014&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[585, 730, 875]"
P015,Básico,2,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio realiza mantención a los equipos de riego y fertirriego de manera periódica, al menos una vez en la temporada o con mayor frecuencia si el fabricante lo recomienda.","Check list o registro de mantención de la infraestructura con los siguientes datos:  • Fecha  • Tipo de evento  • Equipo o infraestructura  • Detalle labores  • Responsable  En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique que las acciones realizadas estén en función de lo solicitado.",Bitácora,https://ciruelacertificada.cl/?s=P015&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[586, 731, 876]"
P016,Intermedio,3,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio programa el riego en función del balance hídrico, con el fin de reponer el déficit de humedad el suelo.","Registro del balance hídrico indicando la siguiente información:  - Fecha de evaluación.  - Coeficiente de cultivo (Kc).  - Sector, cuartel o zona homogénea de cultivo.  - Evapotranspiración de referencia (ETo) indicando la fuente de obtención de la información (estación meteorológica propia o datos de portales como http://agroclima.cl/ o https://agrometeorologia.cl/ ).  - Volumen de agua aplicada en el último riego.  - Precipitación efectiva en el periodo.  - Evapotranspiración de cultivo (ETc)  - Balance hídrico (diferencia entre aportes y pérdidas de agua).",Bitácora,https://ciruelacertificada.cl/?s=P016&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[477, 587, 732, 877]"
P017,Intermedio,3,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio evalúa la uniformidad de la distribución del sistema de riego tecnificado, al menos una vez por temporada e implementa medidas de corrección cuando el coeficiente de uniformidad es menor a 85%.","Registro de la uniformidad de distribución del sistema de riego tecnificado que contemple los siguientes puntos:  * Fecha de evaluación.  * Equipo de riego.  * Sector o cuartel.  * Caudal del equipo (litros/horas).  * Porcentaje de uniformidad.  * Desempeño (excelente, bueno, crítico, inaceptable).  * Medidas correctivas implementadas de ser necesarias.  * Responsable.  En el caso de que esta labor la realice una empresa externa, debe existir un contrato e informe que acredite la realización de las actividades ejecutadas.",Bitácora,https://ciruelacertificada.cl/?s=P017&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[478, 588, 733, 878]"
P018,Avanzado,4,Ambiente,Agua,Gestionar eficientemente el riego en el predio,El predio implementa tecnologías de riego tecnificado subterráneo.,Inspección visual de los equipos de riego utilizados en el predio.,Foto,https://ciruelacertificada.cl/?s=P018&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[589, 734, 879]"
P019,Avanzado,4,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio realiza mediciones de humedad al suelo o al potencial hídrico de la planta, mediante la utilización de sondas o tecnologías de detección de humedad como por ejemplo: tensiómetros o bombas de presión.","Registro de datos de humedad de suelo, obtenidos con los instrumentos utilizados indicando la siguiente información:  * Fecha.  * Equipo de riego.  * Humedad de suelo o potencial hídrico de la planta, según datos arrojados por el instrumento.  * Observaciones.  * Responsable.  En el caso de que esta labor la realice una empresa externa, debe existir un contrato e informe que acredite la realización de las actividades ejecutadas.",Bitácora,https://ciruelacertificada.cl/?s=P019&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[479, 590, 735, 880]"
P020,Fundamental,5,Ambiente,Suelo,Planificar el huerto y gestionar el suelo de manera sustentable en el predio,El predio realiza calicatas para analizar las características del suelo.,"Registro que demuestre la ejecución de las calicatas con la siguiente información:  * Número o código.  * Fecha de ejecución.  * Sector, cuartel o georreferenciación.  * Profundidad.  * Textura (ej.: arcillosa, arenosa, etc.).  * Resultados obtenidos con respecto a las características del suelo.",Bitácora,https://ciruelacertificada.cl/?s=P020&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[496, 591, 736, 881]"
P021,Básico,2,Ambiente,Suelo,Planificar el huerto y gestionar el suelo de manera sustentable en el predio,El predio realiza un diagnóstico predial para identificar las características del suelo.,Documento diagnóstico que contemple la siguiente información:  - Mapa o diagrama del predio diferenciando entre distintos tipos de suelo.  - Identificación de los perfiles de suelo y su riesgo de erosión.  - Identificación de las áreas particularmente susceptibles a erosión.,Archivo,https://ciruelacertificada.cl/?s=P021&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[488, 592, 737, 882]"
P022,Fundamental,5,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio minimiza los riesgos de contaminación del suelo realizando mantenciones a sus equipos de aplicación de agroquímicos.,"Check list o registro de mantención de la infraestructura con los siguientes datos:  • Fecha  • Tipo de evento  • Equipo o infraestructura  • Detalle labores  • Responsable  En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique las acciones realizadas estén en función de lo solicitado.",Bitácora,https://ciruelacertificada.cl/?s=P022&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[482, 593, 738, 883]"
P023,Fundamental,5,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio mantiene o mejora las coberturas vegetales en los suelos, para evitar que queden descubiertos, contemplando al menos un 50% de cobertura en la entre hilera.","- Inspección visual de cuarteles, verificando signos de la existencia de cobertura vegetal natural o sembrada.",Foto,https://ciruelacertificada.cl/?s=P023&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[594, 739, 884]"
P024,Básico,2,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio no quema la vegetación del lugar para despejar las zonas productivas.,Inspección visual de la señalética que indique que no se realizan quemas en el campo.,Foto,https://ciruelacertificada.cl/?s=P024&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[487, 595, 740, 885]"
P025,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio implementa medidas para mejorar la estructura del suelo y evitar su compactación con medidas como por ejemplo:  - Incrementar el porcentaje de materia orgánica en el suelo, a través de enmiendas orgánicas.  - Incorporar restos de poda.  - Incorporar rastrojos.  - Utilizar rotura vertical (subsolado).  - Realizar enmiendas cálcicas (yeso).",Registro de labores de campo que contenga la siguiente información:  • Fecha y hora.  • Sector o cuartel.  • Labor ejecutada.  • Objetivo de la labor.  • Responsable.  • Hallazgos (opcional).,Bitácora,https://ciruelacertificada.cl/?s=P025&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[493, 596, 741, 886]"
P026,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio identifica las zonas compactadas dentro de su explotación.,"Mapa o plano que indique las zonas compactadas, indicadas a través de:  * Penetrómetro.  * Perfil de suelo a través de calicatas.  * Medición de densidad aparente o velocidad de infiltración.",Archivo,https://ciruelacertificada.cl/?s=P026&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[597, 742, 887]"
P027,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio capacita al personal de la empresa sobre la degradación de suelos y da a conocer técnicas de cultivo que evitan la erosión.,"Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",Foto,https://ciruelacertificada.cl/?s=P027&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[549, 598, 743, 888]"
P028,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio aplica medidas para evitar la erosión por escurrimiento tanto antes, durante y después de plantación.",Inspección visual verificando que exista alguna de las siguientes medidas.  - Usar sistemas de riego localizado.  - Plantar árboles en el borde de las zonas de pendiente.  - Utilizar zanjas de infiltración.  - Plantar en curvas de nivel.,Foto,https://ciruelacertificada.cl/?s=P028&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[599, 744, 889]"
P029,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio no deja expuesto el suelo y protege el área de cultivo.,"Inspección visual de cuarteles, verificando que exista alguna de las siguientes medidas.  - Se plantan especies vegetales que sirven como corta vientos.  - Se usa la vegetación nativa y/o natural, en taludes y bordes de canales.",Foto,https://ciruelacertificada.cl/?s=P029&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[600, 745, 890]"
P030,Avanzado,4,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio cuenta con un protocolo que menciona estrategias de mínima labranza para no alterar la condición del suelo.,Protocolo de labores de campo que manifieste que se realizan medidas de mínima labranza.,Foto,https://ciruelacertificada.cl/?s=P030&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[486, 601, 746, 891]"
P031,Fundamental,5,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,"El predio realiza periódicamente, un análisis del suelo por cuartel o zona homogénea de manejo, para controlar los cambios en su estado.","Informe con resultados de análisis de suelo por cuartel o zona homogénea de manejo, realizado cada 3 años, que contenga al menos la siguiente información:  - Análisis químico.  - Conductividad eléctrica y CIC.  - Bases de intercambio.  - Materia orgánica.",Archivo,https://ciruelacertificada.cl/?s=P031&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[602, 747, 892]"
