N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link Recursos
11,A011,Intermedio,3,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,La planta promueve el ahorro de agua en los protocolos de lavado o limpieza de materia prima.,Protocolo o procedimiento de limpieza de materia prima.,https://ciruelacertificada.cl/?s=A011&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
12,A012,Intermedio,3,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,"La planta privilegia las prácticas como raspado y barrido antes de lavar los suelos, usando mangueras de alta presión o reutilizando aguas de preparación de alimentos.",Protocolo o procedimiento de limpieza de suelos.,https://ciruelacertificada.cl/?s=A012&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
13,A013,Avanzado,4,Ambiente,Agua,Reutilizar el agua dentro de la planta,"La planta implementa técnicas de recirculación y reutilización de aguas, ya sea para el uso en planta, para riego (áreas verdes o cultivos asociados) o para reincorporar el recurso a los cursos de agua preexistentes.","Inspección visual de la zona de tratado y posterior recirculación de aguas dentro de la planta. En el caso de que esta acción la realice una empresa externa, debe existir un comprobante detallado de los procedimientos utilizados y el destino del agua reutilizada.",https://ciruelacertificada.cl/?s=A013&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
14,A014,Básico,2,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,La planta cuenta con fuentes y cursos de agua libres de residuos sólidos domiciliarios y agrícolas.,Inspección visual de fuentes y cursos de agua limpios.,https://ciruelacertificada.cl/?s=A014&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
15,A015,Intermedio,3,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,"La planta cuenta con un espacio específico para el lavado de equipos móviles, ej. Bins, alejado de las fuentes o cursos de agua.",Inspección visual de existencia de zona de lavado de equipos que no esté en contacto con el suelo y con vías de evacuación de aguas de lavado.,https://ciruelacertificada.cl/?s=A015&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
16,A016,Intermedio,3,Ambiente,Agua,Monitorear y asegurar la calidad del agua utilizada en la planta,"La planta realiza análisis periódicos a las aguas residuales provenientes de instalaciones de procesamiento, previo a que estas sean desechadas o reutilizadas.",Informe de análisis físico-químicos y microbiológicos actualizados periódicamente.,https://ciruelacertificada.cl/?s=A016&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
17,A017,Avanzado,4,Ambiente,Agua,Monitorear y asegurar la calidad del agua utilizada en la planta,La planta realiza análisis periódicos para evaluar la calidad química y biológica de las fuentes de alimentación de agua.,"Informe de análisis físico-químicos y microbiológicos, actualizados periódicamente según NCH409.",https://ciruelacertificada.cl/?s=A017&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
18,A018,Avanzado,4,Ambiente,Biodiversidad,Establecer un ordenamiento territorial y línea base,"La planta cuenta con un diagnóstico donde se identifica la biodiversidad existente y las áreas de alto valor ecológico, dentro de su propiedad.","Diagnóstico de la biodiversidad con los siguientes puntos: - Mapa con identificación de áreas en la explotación con alto valor ecológico (ej. lagos, estanques y cursos de agua, corredores de vida silvestre, humedales, pastizales ricos en especies, etc.). - Catastro de la biodiversidad existente en el lugar, por ejemplo: principales especies presentes en el entorno (aves, mamíferos, árboles, insectos, hongos, arbustos, etc.) - Registro fotográfico con georreferenciación del estado inicial de las zonas de vegetación natural de conectividad, márgenes y límites de los campos, zonas de amortiguamiento ribereño y áreas de conservación con vegetación nativa.",https://ciruelacertificada.cl/?s=A018&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
19,A019,Avanzado,4,Ambiente,Biodiversidad,Establecer un ordenamiento territorial y línea base,"La planta cuenta con un plan para la gestión de la biodiversidad que propone medidas de conservación, utilizando información rescatada en el diagnóstico realizado previamente. Este plan es evaluado y actualizado cada 5 años.","Plan de gestión con protocolos para la implementación de las siguientes medidas: - Línea base de sitios de interés. - Priorización y definición de objetivos de conservación. - Medidas de conectividad, restauración y rehabilitación. - Medidas de manejo y control de especies exóticas. - Plan de ordenamiento predial. Dicho documento debe tener una fecha de elaboración inferior a 5 años.",https://ciruelacertificada.cl/?s=A019&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
20,A020,Avanzado,4,Ambiente,Biodiversidad,"Fomentar la participación en acciones para la protección y conservación de ecosistemas, hábitat o especies","La planta capacita a quienes trabajan permanentemente en la empresa, sobre el plan de gestión de la biodiversidad propuesto, generando un listado de acciones a tomar para potenciar la biodiversidad.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A020&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
21,A021,Avanzado,4,Ambiente,Biodiversidad,"Fomentar la participación en acciones para la protección y conservación de ecosistemas, hábitat o especies","La planta mantiene un diálogo permanente con las empresas relacionadas al rubro en el territorio, con el objetivo de implementar en conjunto, medidas de conservación y mitigación que les permitan tener un plan de gestión de manera asociativa.",Actas de reuniones de mesas de trabajo con empresas en el territorio.,https://ciruelacertificada.cl/?s=A021&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
22,A022,Básico,2,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","La planta mantiene la conectividad entre la vegetación natural, potenciando su complejidad estructural, a través de cercos vivos, corredores biológicos, franjas ribereñas, entre otras.",Inspección visual de la existencia de vegetación natural de conectividad.,https://ciruelacertificada.cl/?s=A022&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
23,A023,Básico,2,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","La planta protege las zonas de amortiguamiento ribereño (dentro de su propiedad), en el caso de encontrarse a menos de 50 metros de un cuerpo de agua o ecosistema acuático.","Inspección visual de los márgenes ribereños o franjas de amortiguación, los que deben ser mayores a 5 m en cursos de agua y mayores a 10 m en manantiales y cuerpos de agua.",https://ciruelacertificada.cl/?s=A023&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
24,A024,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","La planta identifica y monitorea las especies exóticas invasoras, en base al listado descrito en el diagnóstico.",Registro de monitoreo de especies exóticas invasoras con la siguiente información: - Fecha del hallazgo. - Nombre de la especie. - Ubicación. - N° de individuos visualizados. - Daño provocado. - Medidas de mitigación.,https://ciruelacertificada.cl/?s=A024&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
25,A025,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats",La planta mantiene áreas de conservación con vegetación nativa en zonas productivas.,Son válidos los siguientes documentos: * Mapa que identifique zonas con vegetación nativa. * Registro del comparativo de las fotografías de estado inicial con respecto a la situación actual.,https://ciruelacertificada.cl/?s=A025&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
26,A026,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats",La planta implementa medidas para proteger especies de fauna silvestre.,"Inspección visual de señalética con medidas de protección de la fauna silvestre respecto a: - No cazar, matar, pescar o recolectar animales con prohibición según la legislación. - No retener la vida silvestre en cautiverio. - No realizar labores de limpieza de zanjas o poda de corta vientos en época de anidación de aves. - Limitar el libre movimiento de animales domésticos en áreas de producción. - Protocolo de acción en el caso de encontrar una especie nativa herida.",https://ciruelacertificada.cl/?s=A026&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
27,A027,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","La planta implementa procedimientos de reforestación o replantación, en caso de ser requerida la remoción de árboles dentro de la misma explotación. Esta reforestación debe realizarse con especies nativas de bajo requerimiento hídrico.",Protocolo de reforestación que incluya medidas de cuidado de árboles reforestados.,https://ciruelacertificada.cl/?s=A027&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
28,A028,Fundamental,5,Ambiente,Insumos,Controlar la calidad de insumos y materias primas,La planta implementa procesos de control de calidad a la fruta utilizada en el proceso de elaboración de la ciruela deshidratada.,"Registros de control de calidad a la ciruela precosecha, durante el secado (en cancha) y al ingreso a la planta, midiendo los siguientes parámetros: - Grados brix, firmeza y porcentaje de color. - Diámetro. - Humedad de la fruta (sólo fruta seca). - Identificación de daños.",https://ciruelacertificada.cl/?s=A028&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
29,A029,Fundamental,5,Ambiente,Insumos,Controlar la calidad de insumos y materias primas,La planta implementa procesos de control de calidad a todos los insumos y materias primas utilizadas dentro del proceso.,"Registro de recepción de materias primas verificando el cumplimiento de las especificaciones técnicas: - En el caso de envases y embalajes: medidas, colores, tipo de material, gramaje. - En el caso de ingredientes: condiciones microbiológicas.",https://ciruelacertificada.cl/?s=A029&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
30,A030,Básico,2,Ambiente,Insumos,Controlar la calidad de insumos y materias primas,"La planta solicita a sus empresas proveedoras de insumos de envase y embalaje, que realice controles de calidad de sus productos.",Documento que dé cuenta de al menos uno de los siguientes registros: - Registro de auditorías a proveedores. - Registro de certificaciones al día de proveedores.,https://ciruelacertificada.cl/?s=A030&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
31,A031,Básico,2,Ambiente,Insumos,Controlar la calidad de insumos y materias primas,"La planta solicita a sus empresas proveedoras de ingredientes que son adicionados al producto (sorbato de potasio o aceites), que realicen controles de calidad a sus productos.",Documento que dé cuenta de al menos uno de los siguientes registros: - Registro de certificaciones al día de proveedores. - Copia de la resolución sanitaria de la empresa proveedora o implementación de HACCP.,https://ciruelacertificada.cl/?s=A031&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
32,A032,Intermedio,3,Ambiente,Insumos,Controlar la calidad de insumos y materias primas,"La planta cuenta con protocolo de limpieza y se asegura de que los materiales que son reutilizados (bandejas de madera para secado, bins, carros de metal para bandejas, cajas de cartón y perimetrales), sean limpiados, reparados y revisados para su reingreso a producción.","Protocolo de limpieza, revisión y reparación de materiales.",https://ciruelacertificada.cl/?s=A032&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
33,A033,Básico,2,Ambiente,Insumos,Respetar los niveles máximos residuales,"La planta respeta los niveles máximos de sorbato de potasio u otro insumo utilizado durante el proceso de secado o tiernizado, respetando los límites establecidos y en base a los requerimientos de los mercados de destino.","Registro de aplicación de productos en planta (sorbato de potasio y aceites vegetales), identificando los siguientes puntos: - Producto y su trazabilidad (lote). - Fase de la producción. - Fecha de aplicación. - Dosis aplicada.",https://ciruelacertificada.cl/?s=A033&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
34,A034,Fundamental,5,Ambiente,Insumos,Utilizar empaques sustentables,"La planta evalúa la factibilidad técnica y económica de utilizar envases reciclables o reutilizables, de acuerdo a una evaluación previa de sus productos o procesos, en busca de la mejora continua en aspectos de sustentabilidad.","Estudio de pre factibilidad. (La empresa externa que lo realice, debe entregar un informe que certifique las acciones realizadas para desarrollar lo solicitado).",https://ciruelacertificada.cl/?s=A034&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
35,A035,Avanzado,4,Ambiente,Insumos,Utilizar empaques sustentables,"La planta utiliza, en los empaques que no están en contacto directo con el producto, materiales reutilizables o reciclables. Dichos empaques poseen, al menos, una de las siguientes características: - Material reciclable. - Material reutilizable. - Material reciclado post consumidor. -Material biodegradable. -Material compostable.","Ficha técnica del insumo según especificaciones técnicas entregadas por el proveedor (Gramaje, % de insumos reciclables y tipo de material).",https://ciruelacertificada.cl/?s=A035&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
