N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
21,P021,Básico,2,Ambiente,Suelo,Planificar el huerto y gestionar el suelo de manera sustentable en el predio,El predio realiza un diagnóstico predial para identificar las características del suelo.,Documento diagnóstico que contemple la siguiente información:  - Mapa o diagrama del predio diferenciando entre distintos tipos de suelo.  - Identificación de los perfiles de suelo y su riesgo de erosión.  - Identificación de las áreas particularmente susceptibles a erosión.,https://ciruelacertificada.cl/?s=P021&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
22,P022,Fundamental,5,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio minimiza los riesgos de contaminación del suelo realizando mantenciones a sus equipos de aplicación de agroquímicos.,"Check list o registro de mantención de la infraestructura con los siguientes datos:  • Fecha  • Tipo de evento  • Equipo o infraestructura  • Detalle labores  • Responsable  En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P022&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
23,P023,Fundamental,5,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio mantiene o mejora las coberturas vegetales en los suelos, para evitar que queden descubiertos, contemplando al menos un 50% de cobertura en la entre hilera.","- Inspección visual de cuarteles, verificando signos de la existencia de cobertura vegetal natural o sembrada.",https://ciruelacertificada.cl/?s=P023&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
24,P024,Básico,2,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio no quema la vegetación del lugar para despejar las zonas productivas.,Inspección visual de la señalética que indique que no se realizan quemas en el campo.,https://ciruelacertificada.cl/?s=P024&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
25,P025,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio implementa medidas para mejorar la estructura del suelo y evitar su compactación con medidas como por ejemplo:  - Incrementar el porcentaje de materia orgánica en el suelo, a través de enmiendas orgánicas.  - Incorporar restos de poda.  - Incorporar rastrojos.  - Utilizar rotura vertical (subsolado).  - Realizar enmiendas cálcicas (yeso).",Registro de labores de campo que contenga la siguiente información:  • Fecha y hora.  • Sector o cuartel.  • Labor ejecutada.  • Objetivo de la labor.  • Responsable.  • Hallazgos (opcional).,https://ciruelacertificada.cl/?s=P025&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
26,P026,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio identifica las zonas compactadas dentro de su explotación.,"Mapa o plano que indique las zonas compactadas, indicadas a través de:  * Penetrómetro.  * Perfil de suelo a través de calicatas.  * Medición de densidad aparente o velocidad de infiltración.",https://ciruelacertificada.cl/?s=P026&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
27,P027,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio capacita al personal de la empresa sobre la degradación de suelos y da a conocer técnicas de cultivo que evitan la erosión.,"Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P027&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
28,P028,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,"El predio aplica medidas para evitar la erosión por escurrimiento tanto antes, durante y después de plantación.",Inspección visual verificando que exista alguna de las siguientes medidas.  - Usar sistemas de riego localizado.  - Plantar árboles en el borde de las zonas de pendiente.  - Utilizar zanjas de infiltración.  - Plantar en curvas de nivel.,https://ciruelacertificada.cl/?s=P028&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
29,P029,Intermedio,3,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio no deja expuesto el suelo y protege el área de cultivo.,"Inspección visual de cuarteles, verificando que exista alguna de las siguientes medidas.  - Se plantan especies vegetales que sirven como corta vientos.  - Se usa la vegetación nativa y/o natural, en taludes y bordes de canales.",https://ciruelacertificada.cl/?s=P029&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
30,P030,Avanzado,4,Ambiente,Suelo,Prevenir y mitigar la degradación de los suelos en el predio,El predio cuenta con un protocolo que menciona estrategias de mínima labranza para no alterar la condición del suelo.,Protocolo de labores de campo que manifieste que se realizan medidas de mínima labranza.,https://ciruelacertificada.cl/?s=P030&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
31,P031,Fundamental,5,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,"El predio realiza periódicamente, un análisis del suelo por cuartel o zona homogénea de manejo, para controlar los cambios en su estado.","Informe con resultados de análisis de suelo por cuartel o zona homogénea de manejo, realizado cada 3 años, que contenga al menos la siguiente información:  - Análisis químico.  - Conductividad eléctrica y CIC.  - Bases de intercambio.  - Materia orgánica.",https://ciruelacertificada.cl/?s=P031&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
32,P032,Fundamental,5,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,El predio aplica los fertilizantes de forma parcializada durante la temporada y teniendo en cuenta el estado fenológico del cultivo.,"Registro de aplicaciones de fertilizantes durante la temporada que cuente con los siguientes datos:  * Fecha y hora de la aplicación.  * Sector o cuartel.  * Nombre del producto.  * Composición (P2O5, K2O o N y otros nutrientes).  * Identificación de fertilizantes nitrogenados.  * Dosis.  * Método de aplicación.  * Responsable",https://ciruelacertificada.cl/?s=P032&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
33,P033,Intermedio,3,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,"El predio cuenta con un plan de fertilización actualizado, basado en las características del suelo y la demanda del cultivo. Dicho plan debe ser actualizado cada temporada.",Plan de fertilización actualizado que contenga la siguiente información:  - Registro de los manejos históricos en términos de rendimientos.  - Muestreo de suelos.  - Evaluación del nivel nutricional de las plantas y del suelo post fertilización.  - Definición de un programa de fertilización para la temporada.  - Medidas de monitoreo y estrategias de corrección para las siguientes temporadas.,https://ciruelacertificada.cl/?s=P033&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
34,P034,Avanzado,4,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,"El predio prioriza el uso de fertilizantes que se aplican en pequeñas proporciones a través de sistemas de fertirriego, según los periodos de demanda correspondientes.","Registro de aplicaciones de fertilizantes a través de fertirriego durante la temporada con la siguiente información:  * Fecha y hora de aplicación.  * Sector o cuartel.  * Nombre del producto.  * Composición (P2O5, K2O o N y otros nutrientes).  * Identificación de fertilizantes nitrogenados.  * Dosis.  * Método de aplicación.  * Responsable",https://ciruelacertificada.cl/?s=P034&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
35,P035,Avanzado,4,Ambiente,Suelo,Gestionar la fertilización del predio de manera sustentable,"El predio prioriza el uso de métodos de fertilización orgánica como abono, por ejemplo: compost, ácidos húmicos, entre otros.","Registro de aplicaciones de fertilizantes durante la temporada, identificando fertilizantes orgánicos con la siguiente información:  * Fecha y hora de aplicación.  * Sector o cuartel.  * Nombre del producto.  * Composición (P2O5, K2O o N y otros nutrientes).  * Composición orgánica.  * Identificación de fertilizantes nitrogenados.  * Dosis.  * Método de aplicación.  * Responsable.",https://ciruelacertificada.cl/?s=P035&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
